metric,size,dims,result
pca_$\Delta\theta$,10,5,0.4266323802397583
corr,10,5,0.15218481815300544
pMSE,10,5,0.28395057208482266
ks_test,10,5,0.41999999999999993
pca_$\Delta\lambda$,10,5,0.21134406517637458
pca_$\Delta\theta$,10,5,0.17035021771986678
corr,10,5,0.2058361167288955
pMSE,10,5,0.14346256421798512
ks_test,10,5,0.36
pca_$\Delta\lambda$,10,5,0.2913149827712446
pca_$\Delta\theta$,10,5,0.28155831047523505
corr,10,5,0.2081057824505504
pMSE,10,5,0.133791856546633
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.06264548387671508
pca_$\Delta\theta$,10,5,0.7681218997130735
corr,10,5,0.2516468887533758
pMSE,10,5,0.10983413708934112
ks_test,10,5,0.27999999999999997
pca_$\Delta\lambda$,10,5,0.10226893686526177
pca_$\Delta\theta$,10,5,0.39229259800857536
corr,10,5,0.16247611612271878
pMSE,10,5,0.05867681651930691
ks_test,10,5,0.29999999999999993
pca_$\Delta\lambda$,10,5,0.3020837657550546
pca_$\Delta\theta$,10,5,0.23998262078049296
corr,10,5,0.1852180797826501
pMSE,10,5,0.06783264300006409
ks_test,10,5,0.26
pca_$\Delta\lambda$,10,5,0.13163470142022132
pca_$\Delta\theta$,10,5,0.3685205814876198
corr,10,5,0.23552190228281086
pMSE,10,5,0.19958281231652755
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.29835749826952285
pca_$\Delta\theta$,10,5,0.37700965840438105
corr,10,5,0.12687483069257646
pMSE,10,5,0.24047954108218303
ks_test,10,5,0.38
pca_$\Delta\lambda$,10,5,0.07731769438091282
pca_$\Delta\theta$,10,5,0.39730995969147986
corr,10,5,0.14890267609088456
pMSE,10,5,0.10922618090260325
ks_test,10,5,0.31999999999999995
pca_$\Delta\lambda$,10,5,0.19215642281253922
pca_$\Delta\theta$,10,5,0.4345875712933738
corr,10,5,0.18849564087502496
pMSE,10,5,0.19845395912638622
ks_test,10,5,0.36
pca_$\Delta\lambda$,10,5,0.20702616793080914
pca_$\Delta\theta$,10,5,0.9343424550590316
corr,10,5,0.09778792303786288
pMSE,10,5,0.12305332877952964
ks_test,10,5,0.30000000000000004
pca_$\Delta\lambda$,10,5,0.05399428791688979
pca_$\Delta\theta$,10,5,0.3233822398202097
corr,10,5,0.1989849773695817
pMSE,10,5,0.22928643041318467
ks_test,10,5,0.45999999999999996
pca_$\Delta\lambda$,10,5,0.1593315640757534
pca_$\Delta\theta$,10,5,0.4015102503904913
corr,10,5,0.12236830348756425
